iter	Passed	Remaining
476	653	716
477	654	714
478	655	712
479	656	710
480	657	709
481	658	708
482	660	706
483	661	704
484	662	703
485	663	701
486	664	699
487	665	697
488	666	696
489	667	694
490	668	693
491	669	691
492	670	689
493	671	688
494	673	686
495	674	685
496	675	684
497	677	682
498	678	680
499	678	678
500	679	677
501	680	675
502	681	673
503	682	671
504	683	669
505	684	668
506	685	666
507	686	664
508	687	662
509	688	661
510	689	660
511	690	658
512	691	656
513	692	654
514	693	652
515	694	651
516	695	649
517	696	647
518	697	645
519	697	644
520	698	642
521	699	640
522	700	638
523	701	637
524	702	635
525	704	634
526	705	633
527	706	631
528	707	630
529	709	628
530	710	627
531	711	625
532	712	624
533	713	622
534	714	620
535	715	619
536	716	617
537	717	616
538	718	614
539	719	613
540	720	611
541	722	610
542	723	608
543	724	606
544	725	605
545	726	603
546	726	602
547	727	600
548	728	598
549	729	597
550	730	595
551	731	593
552	732	592
553	733	590
554	735	589
555	736	587
556	737	586
557	738	584
558	739	583
559	740	581
560	741	580
561	742	578
562	743	577
563	744	575
564	745	573
565	746	572
566	747	570
567	748	569
568	749	568
569	751	566
570	752	565
571	753	563
572	754	562
573	755	560
574	756	559
575	757	557
576	758	555
577	759	554
578	759	552
579	760	550
580	761	549
581	762	547
582	763	546
583	765	545
584	766	543
585	767	542
586	768	540
587	769	539
588	770	537
589	771	536
590	772	534
591	773	532
592	774	531
593	775	529
594	776	528
595	777	526
596	778	525
597	779	523
598	780	522
599	781	520
600	782	519
601	783	517
602	784	516
603	784	514
604	785	513
605	786	511
606	787	509
607	788	508
608	789	506
609	789	504
610	790	503
611	791	501
612	792	500
613	793	498
614	795	497
615	796	496
616	797	495
617	798	493
618	799	492
619	801	490
620	802	489
621	803	488
622	804	486
623	805	485
624	805	483
625	806	482
626	807	480
627	808	479
628	809	477
629	811	476
630	812	474
631	813	473
632	813	471
633	814	470
634	815	468
635	816	467
636	817	465
637	818	464
638	819	462
639	819	461
640	820	459
641	821	458
642	822	456
643	823	455
644	824	453
645	826	452
646	827	451
647	828	449
648	829	448
649	830	446
650	831	445
651	832	444
652	832	442
653	833	441
654	834	439
655	835	438
656	836	436
657	837	435
658	838	434
659	839	432
660	841	431
661	842	430
662	843	428
663	844	427
664	845	425
665	846	424
666	847	423
667	848	421
668	849	420
669	850	419
670	851	417
671	852	416
672	853	414
673	854	413
674	856	412
675	857	410
676	858	409
677	859	408
678	860	406
679	861	405
680	862	403
681	862	402
682	863	400
683	864	399
684	865	397
685	866	396
686	867	395
687	868	393
688	869	392
689	870	390
690	871	389
691	872	388
692	873	386
693	874	385
694	875	384
695	876	382
696	877	381
697	878	380
698	879	378
699	880	377
700	881	376
701	882	374
702	883	373
703	884	371
704	885	370
705	887	369
706	888	368
707	889	367
708	891	365
709	892	364
710	892	362
711	893	361
712	894	360
713	895	358
714	896	357
715	897	356
716	898	354
717	899	353
718	901	352
719	902	351
720	903	349
721	905	348
722	906	347
723	907	345
724	908	344
725	909	343
726	910	341
727	911	340
728	912	339
729	913	337
730	914	336
731	915	335
732	916	333
733	918	332
734	919	331
735	920	330
736	921	328
737	922	327
738	923	326
739	924	324
740	925	323
741	926	322
742	927	320
743	928	319
744	928	317
745	929	316
746	931	315
747	933	314
748	934	313
749	935	311
750	936	310
751	937	309
752	938	307
753	938	306
754	939	305
755	940	303
756	941	302
757	942	301
758	943	299
759	944	298
760	945	296
761	946	295
762	947	294
763	949	293
764	950	291
765	951	290
766	952	289
767	953	288
768	954	286
769	955	285
770	956	284
771	957	282
772	958	281
773	960	280
774	961	279
775	962	277
776	964	276
777	965	275
778	967	274
779	968	273
780	969	271
781	970	270
782	971	269
783	972	268
784	974	266
785	975	265
786	976	264
787	978	263
788	979	262
789	980	260
790	982	259
791	983	258
792	984	257
793	985	255
794	986	254
795	987	253
796	988	251
797	989	250
798	990	249
799	991	247
800	992	246
801	994	245
802	995	244
803	996	242
804	997	241
805	998	240
806	999	239
807	1000	237
808	1001	236
809	1002	235
810	1003	233
811	1004	232
812	1004	231
813	1005	229
814	1006	228
815	1008	227
816	1009	226
817	1010	224
818	1012	223
819	1013	222
820	1014	221
821	1015	219
822	1016	218
823	1017	217
824	1018	215
825	1019	214
826	1020	213
827	1021	212
828	1022	210
829	1023	209
830	1024	208
831	1025	207
832	1027	205
833	1028	204
834	1029	203
835	1030	202
836	1031	200
837	1032	199
838	1033	198
839	1034	197
840	1035	195
841	1036	194
842	1037	193
843	1039	192
844	1040	190
845	1041	189
846	1043	188
847	1044	187
848	1045	185
849	1046	184
850	1047	183
851	1048	182
852	1049	180
853	1050	179
854	1052	178
855	1053	177
856	1054	175
857	1055	174
858	1056	173
859	1057	172
860	1058	170
861	1059	169
862	1060	168
863	1061	167
864	1062	165
865	1063	164
866	1064	163
867	1065	162
868	1066	160
869	1067	159
870	1068	158
871	1070	157
872	1072	155
873	1073	154
874	1074	153
875	1075	152
876	1076	150
877	1077	149
878	1078	148
879	1079	147
880	1080	145
881	1081	144
882	1082	143
883	1083	142
884	1084	140
885	1085	139
886	1086	138
887	1088	137
888	1089	135
889	1090	134
890	1091	133
891	1092	132
892	1093	131
893	1094	129
894	1095	128
895	1096	127
896	1097	126
897	1098	124
898	1099	123
899	1101	122
900	1102	121
901	1103	119
902	1104	118
903	1105	117
904	1106	116
905	1107	114
906	1108	113
907	1109	112
908	1110	111
909	1111	109
910	1112	108
911	1113	107
912	1114	106
913	1115	104
914	1116	103
915	1118	102
916	1119	101
917	1120	100
918	1121	98
919	1122	97
920	1123	96
921	1124	95
922	1125	93
923	1126	92
924	1127	91
925	1128	90
926	1129	88
927	1131	87
928	1132	86
929	1133	85
930	1134	84
931	1136	82
932	1137	81
933	1138	80
934	1139	79
935	1140	77
936	1141	76
937	1142	75
938	1143	74
939	1145	73
940	1146	71
941	1147	70
942	1148	69
943	1149	68
944	1151	66
945	1152	65
946	1153	64
947	1154	63
948	1155	62
949	1156	60
950	1157	59
951	1158	58
952	1159	57
953	1160	55
954	1161	54
955	1163	53
956	1164	52
957	1165	51
958	1166	49
959	1167	48
960	1168	47
961	1169	46
962	1170	44
963	1172	43
964	1173	42
965	1174	41
966	1175	40
967	1176	38
968	1177	37
969	1178	36
970	1179	35
971	1180	34
972	1181	32
973	1182	31
974	1183	30
975	1184	29
976	1185	27
977	1186	26
978	1187	25
979	1188	24
980	1190	23
981	1191	21
982	1192	20
983	1194	19
984	1195	18
985	1196	16
986	1197	15
987	1199	14
988	1200	13
989	1201	12
990	1202	10
991	1203	9
992	1204	8
993	1205	7
994	1206	6
995	1207	4
996	1209	3
997	1210	2
998	1211	1
999	1212	0
